"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetName","gbifID","lifeStage"
35.092796,-106.681582,"Hesperiidae","Hylephila phyleus",2018,10,21,"iNaturalist research-grade observations","1932334656",NA
35.093301,-106.679551,"Hesperiidae",NA,2016,7,2,"iNaturalist research-grade observations","1453280268",NA
35.093203,-106.680935,"Lycaenidae","Strymon melinus",2019,7,23,"iNaturalist research-grade observations","2311327642",NA
35.093301,-106.679551,"Lycaenidae","Leptotes marina",2016,7,2,"iNaturalist research-grade observations","1453280344",NA
35.093301,-106.679551,"Lycaenidae","Strymon melinus",2016,7,2,"iNaturalist research-grade observations","1677299743",NA
35.09547,-106.684417,"Nymphalidae","Nymphalis antiopa",2022,3,12,"iNaturalist research-grade observations","3743275688",NA
35.092727,-106.680847,"Nymphalidae","Phyciodes tharos",2022,4,30,"iNaturalist research-grade observations","3773198020",NA
35.092381,-106.680625,"Nymphalidae","Nymphalis antiopa",2021,3,5,"iNaturalist research-grade observations","3059104685","Adult"
35.09296,-106.681488,"Nymphalidae","Nymphalis antiopa",2021,3,19,"iNaturalist research-grade observations","3067719403",NA
35.093372,-106.681595,"Nymphalidae","Danaus plexippus",2021,4,30,"iNaturalist research-grade observations","3112363765",NA
35.092547,-106.680983,"Nymphalidae","Danaus plexippus",2021,6,21,"iNaturalist research-grade observations","3773801337",NA
35.094564,-106.682787,"Nymphalidae","Polygonia interrogationis",2021,8,2,"iNaturalist research-grade observations","3335138170",NA
35.092617,-106.681305,"Nymphalidae","Euptoieta claudia",2021,8,4,"iNaturalist research-grade observations","3335465468",NA
35.09251,-106.680945,"Nymphalidae","Danaus plexippus",2021,9,12,"iNaturalist research-grade observations","3384416459",NA
35.093678,-106.682512,"Nymphalidae","Polygonia interrogationis",2021,9,27,"iNaturalist research-grade observations","3384421545",NA
35.092863,-106.681117,"Nymphalidae","Vanessa atalanta",2021,10,24,"iNaturalist research-grade observations","3399365117",NA
35.093367,-106.681779,"Nymphalidae","Anthanassa texana",2020,4,10,"iNaturalist research-grade observations","2634031541",NA
35.093164,-106.681825,"Nymphalidae","Vanessa cardui",2019,4,28,"iNaturalist research-grade observations","2331829291",NA
35.094371,-106.682874,"Nymphalidae","Vanessa cardui",2019,5,22,"iNaturalist research-grade observations","2244313511","Adult"
35.093694,-106.682276,"Nymphalidae","Eresia aveyrana",2019,5,6,"iNaturalist research-grade observations","3465990361",NA
35.092675,-106.681259,"Nymphalidae","Danaus gilippus",2019,6,24,"iNaturalist research-grade observations","2273279052",NA
35.09358,-106.679259,"Nymphalidae","Euptoieta claudia",2019,7,7,"iNaturalist research-grade observations","2283210486",NA
35.093203,-106.680935,"Nymphalidae","Vanessa cardui",2019,7,23,"iNaturalist research-grade observations","2311329929",NA
35.093209,-106.679584,"Nymphalidae","Polygonia interrogationis",2012,8,1,"iNaturalist research-grade observations","3112288400",NA
35.094178,-106.683645,"Nymphalidae","Phyciodes tharos",2010,7,3,"iNaturalist research-grade observations","2013013089",NA
35.093203,-106.680935,"Papilionidae","Papilio polibetes",2022,5,1,"iNaturalist research-grade observations","3772475674",NA
35.093278,-106.680245,"Papilionidae","Papilio multicaudata",2021,4,7,"iNaturalist research-grade observations","3090579094",NA
35.093536,-106.682397,"Papilionidae","Papilio polibetes",2021,7,5,"iNaturalist research-grade observations","3325581161",NA
35.094208,-106.6836,"Papilionidae","Papilio multicaudata",2019,5,12,"iNaturalist research-grade observations","2243004808",NA
35.093203,-106.680935,"Papilionidae","Papilio polibetes",2019,7,23,"iNaturalist research-grade observations","2311328731",NA
35.093203,-106.680935,"Papilionidae","Papilio multicaudata",2019,7,23,"iNaturalist research-grade observations","2311330527",NA
35.093332,-106.681745,"Papilionidae","Papilio multicaudata",2017,9,17,"iNaturalist research-grade observations","1668822798",NA
35.093301,-106.679551,"Papilionidae","Papilio polibetes",2016,7,2,"iNaturalist research-grade observations","1668801793",NA
35.093694,-106.682276,"Pieridae","Pontia protodice",2019,5,6,"iNaturalist research-grade observations","2242898287",NA
35.094175,-106.682001,"Pieridae","Pontia protodice",2019,7,15,"iNaturalist research-grade observations","2294517015",NA
35.093485,-106.679283,"Pieridae","Pontia protodice",2019,7,7,"iNaturalist research-grade observations","2465110598",NA
35.093612,-106.681323,"Pieridae","Colias eurytheme",2019,8,7,"iNaturalist research-grade observations","2397496247","Adult"
35.093058,-106.682006,"Pieridae","Pieris rapae",2018,6,20,"iNaturalist research-grade observations","1880534119",NA
35.09307,-106.680237,"Pieridae","Pieris rapae",2018,7,1,"iNaturalist research-grade observations","2901723317",NA
35.093301,-106.679551,"Pieridae","Abaeis nicippe",2016,7,2,"iNaturalist research-grade observations","1572385117",NA
35.094749,-106.684008,"Pieridae","Pontia protodice",2010,7,3,"iNaturalist research-grade observations","2013013358",NA
